run_date,symbol,rank,final_score,rating
2026-06-17,KO,77,36.2,Pass
2026-06-17,CAVA,78,35.5,Pass
2026-06-17,VRT,79,35.4,Pass
2026-06-17,LTBR,80,34.7,Pass
2026-06-17,ISRG,81,34.7,Pass
2026-06-17,SIDU,82,34.3,Pass
2026-06-17,AVGO,83,34.3,Pass
2026-06-17,VSAT,84,34.1,Pass
2026-06-17,WK,85,34.1,Pass
2026-06-17,LUNR,86,33.3,Pass
2026-06-17,NET,87,33.1,Pass
2026-06-17,ADBE,88,32.4,Pass
2026-06-17,IBIT,89,32.0,Pass
2026-06-17,CFLT,90,32.0,Pass
2026-06-17,NNE,91,31.8,Pass
2026-06-17,GOOGL,92,31.7,Pass
2026-06-17,BKSY,93,31.2,Pass
2026-06-17,QBTS,94,30.9,Pass
2026-06-17,COIN,95,30.6,Pass
2026-06-17,CRSP,96,29.8,Pass
2026-06-17,NVDA,97,29.7,Pass
2026-06-17,PL,98,29.5,Pass
2026-06-17,RGTI,99,28.3,Pass
2026-06-17,AMZN,100,27.2,Pass
2026-06-17,RDDT,101,26.9,Pass
2026-06-17,NVO,102,26.6,Pass
2026-06-17,ROCK,103,26.5,Pass
2026-06-17,ASTS,104,26.0,Pass
2026-06-17,XLE,105,25.0,Pass
2026-06-17,ESTC,106,22.6,Pass
2026-06-17,UPST,107,22.4,Pass
2026-06-17,ENVX,108,22.3,Pass
2026-06-17,COST,109,21.6,Pass
2026-06-17,WMT,110,21.4,Pass
2026-06-17,QUBT,111,21.3,Pass
2026-06-17,ELF,112,21.0,Pass
2026-06-17,CCJ,113,20.6,Pass
2026-06-17,ORCL,114,19.4,Pass
2026-06-17,XOM,115,18.9,Pass
2026-06-17,XLY,116,17.8,Pass
2026-06-17,MP,117,17.5,Pass
2026-06-17,IGV,118,17.2,Pass
2026-06-17,NU,119,16.9,Pass
2026-06-17,MA,120,15.5,Pass
2026-06-17,JOBY,121,15.2,Pass
2026-06-17,CMG,122,15.0,Pass
2026-06-17,S,123,14.9,Pass
2026-06-17,MSFT,124,14.8,Pass
2026-06-17,DIS,125,13.6,Pass
2026-06-17,SES,126,13.3,Pass
2026-06-17,MNDY,127,13.1,Pass
2026-06-17,MCD,128,12.9,Pass
2026-06-17,EH,129,11.5,Pass
2026-06-17,ACHR,130,11.4,Pass
2026-06-17,OKLO,131,11.2,Pass
2026-06-17,SPOT,132,11.1,Pass
2026-06-17,CRM,133,11.0,Pass
2026-06-17,PATH,134,10.2,Pass
2026-06-17,URNM,135,10.0,Pass
2026-06-17,RXRX,136,9.5,Pass
2026-06-17,META,137,9.5,Pass
2026-06-17,SMR,138,9.5,Pass
2026-06-17,NFLX,139,8.7,Pass
2026-06-17,AVAV,140,7.7,Pass
2026-06-17,ZS,141,7.3,Pass
2026-06-17,PLTR,142,6.8,Pass
2026-06-17,MSTR,143,6.8,Pass
2026-06-17,UEC,144,6.6,Pass
2026-06-17,MVST,145,4.5,Pass
2026-06-17,SYM,146,4.4,Pass
2026-06-17,HUBS,147,4.2,Pass
2026-06-17,SERV,148,4.0,Pass
2026-06-17,KTOS,149,3.5,Pass
2026-06-17,ABB,150,0.0,Pass
2026-06-17,FREY,151,0.0,Pass
