Rank,Symbol,Tier,Category,FinalScore,Rating,TechnicalScore,CatalystScore,RelativeStrengthScore,Close,MA20,MA50,MA200,RelativeVolume,Return3M,SPYReturn3M,RelativeStrength3M,EarningsDate,DaysUntilEarnings,EarningsWithin14Days,Volume,AsOf,Status,CrossedMA50,CrossedMA200,Made52WeekHigh
57,ABCL,Tier 4: Small-Cap Speculative Growth,Small-Cap Speculative Growth,44.6,Pass,70.0,0.0,83.1,5.44,5.5,4.73,4.25,0.8,54.55,12.02,42.52,,,False,5619400.0,2026-06-17,OK,False,False,False
58,SNOW,Tier 2: Growth Leaders,Software & AI,43.7,Pass,72.1,0.0,74.3,234.52,226.21,178.16,205.71,0.56,35.37,12.02,23.34,,,False,6149100.0,2026-06-17,OK,False,False,False
59,RDW,Tier 3: Space & Frontier Tech,Space & Frontier Tech,43.5,Pass,67.5,0.0,82.4,14.36,18.4,13.67,9.84,0.6,50.37,12.02,38.34,,,False,35611400.0,2026-06-17,OK,True,False,False
60,XLK,Tier 5: ETFs,ETFs,43.4,Pass,71.9,0.0,73.0,185.8,186.04,171.12,149.0,0.95,34.68,12.02,22.65,,,False,14381800.0,2026-06-17,OK,False,False,False
61,QQQ,Tier 5: ETFs,ETFs,42.4,Pass,73.3,0.0,65.5,722.51,725.5,690.49,627.76,1.07,21.45,12.02,9.43,,,False,51282500.0,2026-06-17,OK,False,False,False
62,ARKK,Tier 5: ETFs,ETFs,42.1,Pass,81.9,0.0,46.6,78.49,77.65,76.78,78.12,1.35,9.91,12.02,-2.11,,,False,10767900.0,2026-06-17,OK,False,False,False
63,XLF,Tier 5: ETFs,ETFs,41.8,Pass,80.8,0.0,47.3,54.05,52.21,51.89,52.55,1.27,10.37,12.02,-1.65,,,False,49561700.0,2026-06-17,OK,False,False,False
64,AMGN,User Added,Screenshot Import,41.7,Pass,90.3,0.0,27.7,341.66,341.08,340.5,331.62,1.23,-2.79,12.02,-14.82,,,False,3469400.0,2026-06-17,OK,False,False,False
65,SPY,Tier 5: ETFs,ETFs,41.6,Pass,78.9,0.0,50.0,740.96,746.8,728.24,687.83,1.51,12.02,12.02,0.0,,,False,85718600.0,2026-06-17,OK,False,False,False
66,CELH,Tier 2: Growth Leaders,Consumer Growth,41.6,Pass,32.2,7.0,3.4,30.38,29.74,31.64,45.07,1.38,-26.8,12.02,-38.82,,,False,13680100.0,2026-06-17,OK,False,False,False
67,ETN,Tier 1: Core Compounders,Industrial,41.0,Pass,76.6,0.0,52.0,409.64,400.39,404.38,368.42,0.92,13.62,12.02,1.59,,,False,2241800.0,2026-06-17,OK,False,False,False
68,NEE,User Added,Screenshot Import,40.9,Pass,20.1,7.0,24.3,85.73,86.22,90.73,85.73,0.8,-5.75,12.02,-17.77,,,False,9600600.0,2026-06-17,OK,False,False,False
69,HACK,Tier 5: ETFs,ETFs,40.6,Pass,68.4,0.0,66.2,95.38,96.96,87.46,83.09,0.67,22.08,12.02,10.05,,,False,95100.0,2026-06-17,OK,False,False,False
70,AAPL,Tier 1: Core Compounders,Technology,40.4,Pass,70.6,0.0,60.8,295.95,303.61,287.96,267.85,0.85,18.41,12.02,6.38,,,False,42685500.0,2026-06-17,OK,False,False,False
71,V,Tier 1: Core Compounders,Financials,40.0,Pass,76.0,0.0,48.0,330.38,324.44,320.67,329.21,0.88,10.49,12.02,-1.54,,,False,6892800.0,2026-06-17,OK,False,False,False
72,ABBV,Tier 1: Core Compounders,Healthcare,40.0,Pass,78.4,0.0,43.2,221.23,219.81,211.67,220.54,1.07,6.19,12.02,-5.84,,,False,5624200.0,2026-06-17,OK,False,False,False
73,NOW,Tier 1: Core Compounders,Technology,39.3,Pass,22.4,7.0,11.5,95.48,109.34,99.29,137.21,0.99,-16.03,12.02,-28.06,,,False,31952100.0,2026-06-17,OK,False,False,False
74,PH,Tier 1: Core Compounders,Industrial,38.8,Pass,77.8,0.0,38.5,945.97,877.58,908.35,875.25,1.02,3.68,12.02,-8.34,,,False,845300.0,2026-06-17,OK,False,False,False
75,TEM,Tier 4: Small-Cap Speculative Growth,Small-Cap Speculative Growth,38.6,Pass,10.5,7.0,31.8,48.79,48.94,49.87,64.4,0.84,0.21,12.02,-11.82,,,False,6040500.0,2026-06-17,OK,False,False,False
76,BRK.B,Tier 1: Core Compounders,Financials,38.1,Pass,77.8,0.0,35.1,491.28,483.09,478.95,490.31,1.03,1.41,12.02,-10.62,,,False,5408600.0,2026-06-17,OK,False,False,False
